AdvertiserId,Minimum_Impressions,Budget,Bid,Reward,Performance
139,3193,24285,24,18157,0.67
140,4127,22809,100,13084,0.62
141,5950,15660,99,25000,0.65
142,2163,23070,6,13387,0.66
143,6092,17254,68,14713,0.73
144,10000,22822,82,17805,0.64
145,1806,18401,6,15101,0.63
146,7276,12093,26,12431,0.61
147,6364,21730,91,11016,0.58
148,9974,11563,100,10641,0.46
149,8026,18217,75,14062,0.59
150,9401,10174,38,18507,0.64
151,6075,10000,80,20495,0.66
152,10000,11334,83,10440,0.63
153,4913,10321,43,11138,0.57
154,4248,15698,53,24634,0.59
155,1163,23446,15,19106,0.52
156,2498,22342,1,15243,0.65
157,8494,22239,56,12303,0.57
158,10000,23854,56,24986,0.63
159,3804,23897,31,24029,0.75
160,4263,21419,83,22334,0.49
161,5732,20064,57,24040,0.69
162,2353,24482,51,15950,0.6
163,7085,15604,24,17046,0.9
164,1791,16742,58,16606,0.57
165,4081,20259,73,13421,0.7
166,8054,17436,87,23434,0.6
167,7780,18524,4,12078,0.39
168,2136,15674,10,16103,0.52
169,4196,15002,63,14150,0.73
170,1198,21183,73,12200,0.54
171,5237,10910,83,14551,0.27
172,1354,22688,15,25000,0.6
173,8664,10949,98,18227,0.44
174,6355,15425,63,25000,0.62
175,7892,20267,19,24221,0.83
176,7028,12514,63,24108,0.72
177,5749,21523,56,25000,0.83
178,5672,17701,21,13956,0.52
179,2207,21221,34,22543,0.58
180,6291,24198,17,12225,0.44
181,6035,10100,18,17715,0.5
182,5431,14646,81,13325,0.46
183,4010,16945,66,18699,0.4
184,702,12400,51,13745,0.8
185,4718,10000,65,22308,0.29
186,9458,15801,43,22069,0.81
187,4889,12343,57,24410,0.79
188,2827,10352,10,18160,0.67
189,8504,12955,37,14814,0.43
190,3431,11018,48,18651,0.36
191,8277,11179,69,16103,0.52
192,697,15193,56,25000,0.69
193,7625,13536,76,11405,0.6
194,2430,21842,36,22287,0.44
195,6787,12502,31,23348,0.77
196,9300,13819,55,16090,0.85
197,9839,16855,38,17287,0.57
198,4782,10979,73,12036,0.62
199,3011,23643,90,16034,0.37
200,1159,23026,15,12677,0.54
201,3311,10976,16,16144,0.68
202,7598,19563,77,11744,0.65
203,7046,12280,89,21175,0.52
204,2486,15897,94,20550,0.0
205,8838,24437,53,19423,0.53
206,3411,23240,56,11177,0.56
207,2234,22768,7,10761,0.66
208,10000,23525,57,14778,0.3
209,9180,10107,55,16458,0.59
210,3476,19164,52,20546,0.65
211,2459,11626,4,15623,0.51
212,6259,18895,43,14714,0.53
213,7194,24670,40,13726,0.53
214,2885,16229,30,19735,0.53
215,5236,16877,10,21869,0.6
216,2302,10874,94,11933,0.62
217,8655,15543,7,25000,0.28
218,8620,13809,36,13561,0.7
219,7116,25000,35,25000,0.56
220,6034,12107,88,22049,0.89
221,4561,21745,39,17179,0.42
222,762,19465,36,24849,0.47
223,6787,10559,20,22209,0.57
224,9315,18308,49,14444,0.66
225,9708,14969,96,12964,0.31
226,2549,23255,59,19222,0.48
227,5923,13046,49,20739,0.69
228,5048,23856,90,20714,0.46
229,3608,10043,26,22811,0.81
230,7658,10508,36,20067,0.53
231,7900,16107,43,17224,0.47
232,3670,23476,99,18781,0.69
233,2755,13439,43,20472,0.84
234,1654,13928,99,13101,0.66
235,4999,15411,76,20606,0.79
236,6795,23136,33,13897,0.0
237,6697,24167,100,13678,0.46
238,2148,10916,78,11843,0.74
239,6039,21137,97,22343,0.37
240,4699,10798,45,24345,0.66
241,8945,14971,45,11938,0.59
242,3057,11760,88,20386,0.79
243,6092,20525,15,22651,0.78
244,598,10000,95,18444,0.69
245,500,10818,17,17866,0.64
246,3461,25000,12,17083,0.68
247,5473,15040,22,15372,0.61
248,4933,21927,23,11466,0.59
249,3369,13065,90,10735,0.82
250,1456,13259,78,10339,0.83
251,8852,10906,12,21779,0.58
252,6199,22300,68,11376,0.64
253,500,10602,51,14719,0.61
254,4993,14295,13,10704,0.0
255,9992,20825,57,13724,0.55
256,5411,19983,55,18189,0.84
257,4487,13527,82,14418,0.49
258,6515,14543,28,25000,0.92
259,1718,11811,44,21100,0.78
260,4996,22103,19,20166,0.0
261,5235,19032,46,19660,0.68
262,5055,21334,3,20334,0.46
263,9646,22877,83,10552,0.56
264,8550,17963,20,13491,0.82
265,3946,15249,25,23825,0.51
266,1545,20282,75,10000,0.76
267,7393,14615,56,11173,0.39
268,2193,19228,81,10552,0.42
269,3936,18916,61,13422,0.0
270,9254,16766,55,14211,0.6
271,6395,10000,1,18823,0.52
272,3854,10802,78,10269,0.8
273,725,12582,59,10860,0.79
274,5393,16445,39,10290,0.74
275,7522,13837,57,19649,0.51
276,9651,18718,83,24344,0.56
277,6100,11665,67,15870,0.65
278,8496,19330,34,10629,0.7
279,9507,18651,41,17007,0.52
280,8183,16975,22,15943,0.63
281,5142,12552,27,10474,0.64
282,8179,17475,21,14632,0.79
283,8708,23219,41,25000,0.71
284,7839,24274,1,22972,0.37
285,9935,10000,27,25000,0.57
286,2705,10000,100,21274,0.46
287,1569,12808,66,14708,0.69
288,3944,10000,54,16920,0.74
289,1560,15633,9,22166,0.62
290,2827,21435,83,13398,0.56
291,3920,22260,42,24241,0.61
292,801,24837,36,24930,0.63
293,1106,16096,10,20515,0.5
294,3670,24669,59,25000,0.42
295,1199,20523,40,13561,0.29
296,5588,22762,54,20584,0.79
297,9831,23365,39,13844,0.67
298,690,23769,7,20607,0.65
299,1480,23890,4,13804,0.79
300,3475,23731,15,23622,0.41
301,6602,21877,76,23018,0.34
302,1684,18823,48,19816,0.66
303,3827,22990,6,11508,0.64
304,3894,12456,73,14110,0.34
305,8819,19173,35,14853,0.65
306,2316,15423,72,16831,0.54
307,6354,24246,71,18195,0.48
308,7209,22846,68,24157,0.55
309,1069,25000,58,13447,0.23
310,5942,11556,77,23680,0.51
311,2395,12205,19,15584,0.49
312,3233,22635,62,20772,0.68
313,4363,23470,71,13791,0.58
314,7955,23176,10,15081,0.7
315,4514,13955,25,19352,0.22
316,2186,19113,44,10833,0.47
317,3509,25000,99,24698,0.68
318,8306,16805,58,20190,0.55
319,654,10404,25,24242,0.73
320,10000,23568,93,15335,0.33
321,1284,22964,76,10000,0.71
322,10000,22876,40,16260,0.5
323,8060,11620,76,19394,0.49
324,7843,24893,70,12175,0.75
325,7706,12952,10,19573,0.77
326,6096,18080,66,14173,0.76
327,6301,13118,25,12788,0.91
328,3306,17380,71,17460,0.79
329,1037,24814,87,21013,0.48
330,6486,16630,11,22369,0.62
331,500,19786,36,18533,0.55
332,9216,10565,49,19553,0.9
333,7471,24859,48,16721,0.77
334,6125,14799,87,14191,0.57
335,10000,17670,7,17312,0.73
336,8492,12868,91,18187,0.42
337,5280,19049,77,24912,0.0
338,2868,19476,51,14616,0.46
339,7155,18776,17,10995,0.35
340,8673,14327,32,10356,0.72
341,4995,16413,26,18377,0.74
342,500,17614,22,11693,0.67
343,6502,11245,13,25000,0.57
344,7114,18243,12,24486,0.41
345,9858,20355,71,19534,0.43
346,6419,10537,1,17921,0.45
347,1353,10540,33,11691,0.56
348,4646,23330,14,19274,0.76
349,4269,10814,64,12057,1.0
350,1074,11415,43,12904,0.35
351,1648,21030,58,21387,0.5
352,6793,11652,41,14451,0.49
353,6957,20857,81,21609,0.22
354,8009,22706,68,16937,0.68
355,5277,14062,39,24572,0.56
356,4354,12356,1,12380,0.58
357,2991,13810,41,18208,0.8
358,3624,19055,45,18515,0.61
359,10000,10185,88,12070,0.54
360,3551,22548,98,10930,0.69
361,504,11551,98,22746,0.76
362,5722,23584,88,23771,0.64
363,5815,20399,79,24856,0.7
364,5369,17013,81,22844,0.58
365,500,10761,13,11444,0.59
366,500,22511,71,22228,0.62
367,7527,19471,9,18594,0.49
368,4642,22467,63,13402,0.51
369,7466,16163,99,14552,0.81
370,7579,23935,23,19698,0.9
371,8487,22919,54,11521,0.84
372,7299,17635,47,13098,0.4
373,4965,21886,39,20636,0.39
374,1135,13281,87,18120,0.42
375,2193,11536,26,17355,0.62
376,5252,16201,1,12187,0.18
377,8811,13164,14,12568,0.0
378,1330,12770,96,20985,0.81
379,5677,20155,74,18283,0.75
380,9432,17399,65,24412,0.52
381,8808,13845,69,14947,0.53
382,6449,13435,67,23555,0.69
383,3338,14710,49,14940,0.74
384,1650,25000,50,25000,0.52
385,8060,20613,58,11753,0.56
386,2431,14717,53,15054,0.52
387,9704,17623,91,23276,0.4
388,2164,20327,57,14892,0.57
389,1581,17187,100,15781,0.56
390,500,23301,18,24152,0.41
391,8305,20253,16,10087,0.7
392,5737,12180,2,11641,0.67
393,1059,11960,13,12962,0.7
394,4172,13879,45,15413,0.48
395,7904,10000,80,20334,0.3
396,3843,17035,72,17420,0.67
397,4570,21471,43,18742,0.5
398,1080,22076,72,20638,0.47
399,7504,13270,54,16910,0.41
400,8630,14687,74,15173,0.56
401,3647,10582,97,20143,0.84
402,500,19805,31,20482,0.52
403,2179,19293,76,15229,0.44
404,4006,10288,9,22029,0.7
405,7753,15664,73,18815,0.63
406,3244,17979,48,13757,0.28
407,9935,13859,18,14796,0.7
408,5688,13060,94,13292,0.92
409,2641,21118,96,13832,0.21
410,7117,23731,87,10000,0.41
411,2979,22294,11,18353,0.17
412,6984,11183,100,20184,0.59
413,7921,14335,84,20274,0.75
414,4952,24274,100,21205,0.62
415,6381,11446,100,18228,0.81
416,500,16679,90,19037,0.72
417,3349,19941,1,21068,0.86
418,7890,16213,24,16766,0.77
419,7405,11903,13,17537,0.54
420,2989,24551,46,15296,0.61
421,9707,21367,53,24856,0.47
422,5111,17894,98,13346,0.57
423,3339,19269,29,14054,0.0
424,9027,12377,36,14200,0.59
425,500,10847,71,24491,0.8
426,9587,17370,94,18527,0.55
427,6803,23599,17,21289,0.46
428,1351,24380,48,24245,0.47
429,2187,21068,77,20535,0.7
430,7333,16341,24,11560,0.39
431,2927,11239,54,17522,0.57
432,4500,15600,95,23173,0.8
433,5552,19524,1,14164,0.64
434,500,21698,85,23638,0.59
435,6232,20571,1,22438,0.59
436,5887,25000,79,16720,0.45
437,8502,22314,67,18853,0.47
438,6036,21429,6,15439,0.57
439,4413,12365,78,14852,0.64
440,1566,20604,55,16595,0.74
441,8223,21366,38,16713,0.61
442,4880,15055,33,21931,0.8
443,4607,15622,8,13183,0.84
444,10000,24156,90,24970,0.72
445,3873,10372,79,19677,0.78
446,9445,17783,100,18032,0.45
447,2582,11949,20,24275,0.43
448,9467,10244,55,12409,0.68
449,7248,20032,48,14298,0.4
450,10000,17795,83,12534,0.56
451,8806,15772,56,15599,0.72
452,9308,21619,97,10003,0.81
453,4474,24813,100,23440,0.56
454,3767,10124,88,21289,0.5
455,1325,22824,10,21040,0.65
456,8168,20945,52,23264,0.44
457,6245,11919,50,10026,0.57
458,912,19827,34,15161,0.6
459,8043,19617,36,10964,0.6
460,8087,19732,61,16207,0.61
461,1228,10530,100,13096,0.47
462,7664,17849,16,10071,0.49
463,9367,16929,79,15601,0.49
464,500,14349,18,24184,0.36
465,3004,24456,71,12947,0.65
466,3467,21295,47,20507,0.73
467,3286,14756,86,22089,0.72
468,1622,11801,32,16238,0.56
469,4579,15156,43,14490,0.48
470,2071,17856,83,23156,0.71
471,5573,15461,40,12411,0.7
472,5604,19228,65,18308,0.63
473,2643,15302,35,20403,0.86
474,7306,21920,69,12924,0.6
475,10000,17432,50,12837,0.56
476,3940,25000,12,10576,0.54
477,4266,22203,76,24641,0.37
478,6144,16189,1,18963,0.7
479,3414,21655,58,17907,0.58
480,5468,11142,83,18391,0.68
481,6417,17076,63,11755,0.88
482,9287,23842,73,18371,0.54
483,1228,17614,49,12405,0.25
484,1865,19947,36,16883,0.67
485,4992,24253,54,10000,0.63
486,1198,14840,47,21515,0.49
487,500,11629,32,16139,0.66
488,895,15062,99,24184,0.72
489,7900,10762,95,24765,0.46
490,8582,16905,53,22940,0.55
491,4671,14889,32,22965,0.82
492,4860,14839,62,20493,0.49
493,3002,23357,37,12988,0.61
494,1217,13957,96,15784,0.21
495,3282,25000,38,19794,0.38
496,5446,10557,30,11119,0.62
497,5986,24282,58,12214,0.78
498,8835,14621,32,18000,0.4
499,5480,24932,66,18065,0.61
500,7766,10839,51,23252,0.54
501,4991,18194,11,20103,0.74
502,7692,19243,59,12901,0.42
503,6088,19596,20,11085,0.66
504,8151,25000,37,10173,0.5
505,4136,16998,73,23564,0.63
506,1667,20129,49,13532,0.61
507,1562,24242,19,22911,0.56
508,2656,10510,55,11238,0.67
509,8360,21596,40,21502,0.61
510,5661,22974,7,24750,0.0
511,5805,11137,5,14834,0.55
512,7041,23700,42,13813,0.61
513,5229,15606,88,22008,0.63
514,9848,22106,48,22962,0.45
515,7830,21513,7,24461,0.55
516,5834,14666,11,17084,0.44
517,9424,18906,73,24588,0.59
518,4830,15434,49,18012,0.51
519,8510,20478,30,11973,0.72
520,7301,16446,41,13782,0.7
521,5346,12654,3,12244,0.46
522,7231,25000,86,19849,0.6
523,7741,17820,40,18604,0.7
524,1453,22621,51,23767,0.57
525,3039,12160,1,17221,0.49
526,7556,15740,32,17814,0.44
527,2042,14457,48,21602,0.73
528,5793,24168,71,22284,0.74
529,1691,20336,71,11382,0.57
530,6813,24269,20,11123,0.71
531,7438,12063,89,22521,0.16
532,3181,20795,35,15181,0.8
533,9909,11977,24,14012,0.58
534,2040,18567,40,12243,0.62
535,6672,18933,77,12589,0.55
536,6041,22677,52,19970,0.81
537,10000,12667,1,11129,0.44
538,9191,19432,68,24630,0.82
539,9202,21662,61,25000,0.66
540,7994,14919,76,21714,0.69
541,4812,20559,81,19749,0.55
542,1824,20435,1,16299,0.4
543,9847,21741,62,14501,0.74
544,3641,18609,81,17039,0.65
545,7919,17642,2,12773,0.8
546,3986,18798,6,12785,0.57
547,2310,18759,75,16940,0.54
548,7088,25000,43,11706,0.81
549,500,24566,82,12601,0.89
550,5801,10883,40,21835,0.6
551,4686,24856,89,18566,0.49
552,9405,14798,39,11612,0.72
553,6477,18040,28,10454,0.56
554,4768,25000,80,14297,0.69
555,5248,21085,63,24043,0.56
556,5349,15718,64,11475,0.83
557,9935,12068,12,19045,0.5
558,4209,17478,41,18915,0.67
559,9773,24923,29,11391,0.53
560,7119,18120,23,20579,0.56
561,9147,17820,85,18453,0.54
562,500,21901,80,18008,0.71
563,500,25000,51,18734,0.74
564,10000,15715,45,18742,0.68
565,1004,19649,90,15425,0.58
566,1714,24706,22,24157,1.0
567,2031,23871,10,21989,0.73
568,500,20106,7,10637,0.74
569,1323,18269,73,18356,0.2
570,1428,21805,89,12805,0.56
571,5529,11308,15,18812,1.0
572,633,18839,77,11223,0.7
573,2605,20379,46,13342,0.59
574,4127,18744,90,25000,0.71
575,6816,23285,85,10488,0.44
576,2352,18473,87,25000,0.64
577,5410,19473,61,15142,0.74
578,4675,20038,92,18856,0.38
579,5848,23671,61,11246,0.98
580,9942,20679,51,16061,0.78
581,6690,24605,38,23532,0.6
582,1756,23445,12,12710,0.48
583,3876,20985,88,10000,0.57
584,6145,21903,77,22360,0.61
585,3986,10000,66,13952,0.67
586,500,14861,54,10000,0.83
587,8553,24430,39,20783,0.53
588,3830,12776,76,10880,0.68
589,3203,11596,39,10434,0.41
590,9162,10000,78,16124,0.54
591,8620,13312,30,18104,0.66
592,7614,16156,48,15184,0.7
593,1853,21410,1,11984,0.49
594,5563,20155,31,22644,0.53
595,9049,17919,25,23223,0.82
596,8075,16744,68,22305,0.77
597,1167,20334,51,22062,0.0
598,4968,13898,13,23877,0.26
599,9837,24628,100,20814,0.98
600,7319,25000,63,19984,0.6
601,4219,19487,42,12798,0.55
602,3245,15624,54,17603,0.52
603,7983,23477,67,23283,0.66
604,1039,10938,80,21704,0.66
605,5464,18176,90,23320,0.74
606,5335,10761,56,11493,0.46
607,4275,17254,19,12679,0.55
608,6542,22941,46,11625,0.9
609,7602,11669,15,20611,0.63
610,7812,17128,32,13017,0.57
611,5820,13862,49,11847,0.46
612,6632,12685,21,13246,0.68
613,8391,22091,65,19730,0.75
614,3279,16634,70,23441,0.73
615,1424,11931,27,11316,0.56
616,2081,17308,23,19911,0.65
617,8214,13939,47,11950,0.85
618,3824,11126,95,24688,0.76
619,6213,21489,12,10223,0.48
620,7526,16021,85,12026,0.22
621,755,22862,66,11547,0.64
622,5304,16437,5,13778,0.72
623,10000,25000,9,10000,0.44
624,509,23617,20,15785,0.6
625,3371,15373,82,17757,0.56
626,9489,11203,63,13723,0.62
627,7909,14135,86,11523,0.52
628,7918,21964,72,23401,0.79
629,5624,18711,98,20895,0.62
630,1515,23927,73,25000,0.47
631,2693,17904,71,23383,0.74
632,8915,24881,30,22720,0.41
633,7949,25000,82,23659,0.79
634,4658,14558,91,23574,0.75
635,10000,15347,16,23582,0.81
636,7470,17867,85,14604,0.58
637,7438,15944,5,22795,0.53
638,5284,18674,29,10616,0.61
639,4500,12477,47,14515,0.59
640,2133,13093,22,10000,0.5
641,500,18534,78,22361,0.52
642,9202,10000,57,15774,0.55
643,884,23484,83,12621,0.42
644,904,19654,35,22433,0.7
645,8675,19394,88,12093,0.59
646,2500,19813,60,19956,0.55
647,6489,24468,70,13176,0.43
648,1960,20590,60,19324,0.43
649,7690,21788,58,17484,0.89
650,7640,24841,3,22408,0.51
651,4136,16227,34,13570,0.69
652,5309,23280,45,11066,1.0
653,4678,13535,50,24251,0.0
654,7745,21069,2,12146,0.87
655,7100,17004,15,10705,0.7
656,6497,25000,37,12358,0.48
657,2548,21543,15,23525,0.6
658,5280,12913,60,13534,0.43
659,1216,19381,96,13812,0.0
660,8439,12340,85,20662,0.46
661,6065,21772,64,22259,0.52
662,5044,19795,81,21652,0.49
663,10000,21489,98,13768,0.61
664,3919,15289,96,20126,0.81
665,500,10597,52,15978,0.87
666,10000,18836,23,12319,0.54
667,9365,22735,99,21064,0.66
668,1270,10000,37,18163,0.61
669,4863,12902,41,15221,0.45
670,1577,16645,57,10209,0.96
671,8927,18955,97,14834,0.8
672,9080,17694,25,23333,0.63
673,8401,14830,37,12807,0.84
674,5358,17546,40,10000,0.78
675,7044,17368,85,13962,0.61
676,500,19834,46,23028,0.65
677,3314,20489,60,20145,0.83
678,3874,22888,98,12390,0.46
679,1752,20364,19,15519,0.85
680,7496,12160,91,21717,0.57
681,5173,23268,9,14794,0.83
682,5030,15878,69,21406,0.6
683,7381,17663,5,24161,0.65
684,7449,13749,1,25000,0.59
685,6741,24485,26,20775,0.52
686,8517,12922,19,18332,0.56
687,7441,16486,30,22527,0.81
688,7502,18112,100,18483,0.25
689,1831,18771,48,12864,0.41
690,4761,10000,16,14177,0.49
691,8148,14878,71,12607,0.44
692,5615,12368,18,13936,0.83
693,5137,18093,56,12917,0.79
694,5354,13932,21,12218,0.69
695,3677,22819,31,11797,0.5
696,8230,21552,1,19168,0.0
697,2680,15608,3,18771,0.36
698,5392,16635,95,12573,0.92
699,7543,22899,25,12589,0.5
700,637,16395,8,24445,0.0
701,6827,16101,100,13283,0.54
702,3972,19292,62,19991,0.44
703,5949,19862,7,11461,0.89
704,3332,23703,7,14417,0.72
705,10000,15531,8,22260,0.78
706,6471,20412,19,21139,0.42
707,4664,14970,100,10713,0.63
708,8441,16344,11,24419,0.68
709,6069,18408,49,12423,0.64
710,4800,10375,11,17220,0.43
711,6769,17887,41,11890,0.76
712,4318,11609,62,13567,0.62
713,2406,22298,52,15375,0.46
714,6754,22031,66,24921,0.32
715,1260,12939,68,19870,0.69
716,8330,14062,92,12147,0.97
717,7850,11613,97,24464,0.45
718,6738,16578,75,19109,0.63
719,6590,17851,67,20458,0.77
720,10000,10000,40,20716,0.41
721,8187,23105,5,11806,0.53
722,9591,17540,85,14051,0.47
723,8972,19488,22,24357,0.75
724,2387,17074,37,18751,0.8
725,3766,13996,11,18820,0.62
726,10000,14786,44,21258,0.47
727,4688,15695,86,23640,0.53
728,1171,23820,53,20103,0.51
729,7277,19347,77,13762,0.45
730,8070,16998,61,21743,0.58
731,8456,24235,67,20000,0.69
732,5624,23071,13,20578,0.67
733,6085,12366,92,20087,0.6
734,5277,21083,11,22122,0.61
735,4400,20164,11,24514,1.0
736,7177,24164,85,24756,0.41
737,10000,16764,85,19198,0.62
738,6876,18976,7,18240,0.51
739,1023,22684,17,20042,0.4
740,2893,19273,48,20121,0.66
741,10000,23791,14,16910,0.51
742,7740,20225,63,16173,0.63
743,7437,11614,64,12132,0.73
744,6690,14555,97,16932,0.46
745,5740,24396,75,11525,0.61
746,6993,12416,77,23857,0.33
747,500,17288,65,10328,0.83
748,4643,16862,34,12657,0.4
749,4144,22833,9,22721,0.52
750,4932,13653,77,18779,1.0
751,1776,16639,37,23998,0.56
752,6311,10496,30,15972,0.42
753,802,10504,41,15368,0.71
754,1138,17699,45,15971,0.0
755,555,21578,47,13205,0.51
756,10000,23380,7,16833,0.52
757,8650,20400,14,16141,0.53
758,2625,15733,48,17532,0.57
759,864,18055,6,17907,0.32
760,7309,23005,34,11598,0.57
761,5121,13216,80,13851,0.87
762,10000,15688,100,20664,0.47
763,5622,21858,46,17582,0.51
764,2146,19600,100,21009,0.42
765,1418,14364,70,25000,0.69
766,500,22269,8,14607,0.78
767,7006,16042,24,19600,0.78
768,6370,11477,67,15507,0.41
769,2031,23829,4,25000,0.67
770,8672,14960,96,19203,0.82
771,3845,12397,1,15568,0.68
772,8173,18301,34,14659,0.67
773,7449,21746,9,14398,0.53
774,7382,24742,63,16242,0.63
775,2406,18841,76,22236,0.79
776,3586,16194,10,19521,0.65
777,8652,17570,10,20796,0.41
778,6250,17730,50,10000,0.53
779,9405,11499,44,16611,0.78
780,500,23398,48,24775,0.65
781,2476,17235,87,24662,0.62
782,1796,10595,6,16712,0.52
783,6729,10978,88,12023,0.78
784,8141,10730,24,16176,0.85
785,625,10056,85,14507,0.79
786,5132,12243,95,23937,0.82
787,6788,10000,58,13185,0.55
788,4096,11701,64,22795,0.52
789,6668,25000,100,22343,0.58
790,8061,11286,56,17723,0.61
791,10000,18303,98,24035,0.81
792,732,22998,82,20785,0.77
793,9861,19393,12,21533,0.68
794,6871,10947,100,10195,0.39
795,4706,14121,71,24748,0.35
796,8443,16553,89,24972,0.64
797,7391,10000,6,19982,0.73
798,7238,24866,65,23968,0.59
799,2972,24088,80,11106,0.89
800,3239,25000,60,12789,0.44
801,5901,15651,68,20376,0.42
802,2261,17273,29,18730,0.5
803,1376,20033,38,14784,0.49
804,4312,13535,92,10718,0.68
805,1960,12293,22,17076,0.54
806,2233,11104,8,13995,0.37
807,10000,18853,63,10305,0.73
808,6122,10908,96,15430,0.34
809,7267,16539,97,18579,0.44
810,7486,14617,13,18916,0.36
811,4017,20048,27,24327,0.63
812,4235,24047,18,24177,0.63
813,9852,17069,18,23202,0.89
814,8934,12311,77,18186,0.74
815,3090,10789,86,12596,0.82
816,1563,23585,62,24841,0.64
817,4824,24017,14,12435,0.45
818,500,10171,11,20532,0.62
819,5842,22552,86,18370,0.69
820,505,20178,100,11903,0.71
821,10000,17989,17,19896,0.53
822,9159,23337,51,13383,0.67
